FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
event/controller.php                        ,https://enterpriseenrollment.officevibe.com/event/controller.php                        ,/ErrorPage.aspx?E=404,442,302,138,6,4,text/html; charset=utf-8,81.733779ms,
validateCode.aspx,https://enterpriseenrollment.officevibe.com/validateCode.aspx,/ErrorPage.aspx?E=404,453,302,138,6,4,text/html; charset=utf-8,82.748501ms,
home/notice.aspx,https://enterpriseenrollment.officevibe.com/home/notice.aspx,/ErrorPage.aspx?E=404,456,302,138,6,4,text/html; charset=utf-8,86.468622ms,
DesktopModules/EnhancedLinks/EnhancedLinksEdit.aspx,https://enterpriseenrollment.officevibe.com/DesktopModules/EnhancedLinks/EnhancedLinksEdit.aspx,/ErrorPage.aspx?E=404,486,302,138,6,4,text/html; charset=utf-8,87.398898ms,
upgradeexplain.aspx,https://enterpriseenrollment.officevibe.com/upgradeexplain.aspx,/ErrorPage.aspx?E=404,499,302,138,6,4,text/html; charset=utf-8,81.748571ms,
dbImage_4505.aspx,https://enterpriseenrollment.officevibe.com/dbImage_4505.aspx,/ErrorPage.aspx?E=404,496,302,138,6,4,text/html; charset=utf-8,81.676968ms,
ViewComments.aspx,https://enterpriseenrollment.officevibe.com/ViewComments.aspx,/ErrorPage.aspx?E=404,504,302,138,6,4,text/html; charset=utf-8,86.764756ms,
Advertise.aspx,https://enterpriseenrollment.officevibe.com/Advertise.aspx,/ErrorPage.aspx?E=404,503,302,138,6,4,text/html; charset=utf-8,94.333244ms,
PresencePostback.aspx,https://enterpriseenrollment.officevibe.com/PresencePostback.aspx,/ErrorPage.aspx?E=404,559,302,138,6,4,text/html; charset=utf-8,85.662941ms,
changelang.aspx,https://enterpriseenrollment.officevibe.com/changelang.aspx,/ErrorPage.aspx?E=404,603,302,138,6,4,text/html; charset=utf-8,82.27705ms,
GetAbstract.aspx,https://enterpriseenrollment.officevibe.com/GetAbstract.aspx,/ErrorPage.aspx?E=404,621,302,138,6,4,text/html; charset=utf-8,82.462674ms,
offer-banner.aspx,https://enterpriseenrollment.officevibe.com/offer-banner.aspx,/ErrorPage.aspx?E=404,646,302,138,6,4,text/html; charset=utf-8,81.163011ms,
custupdateok.aspx,https://enterpriseenrollment.officevibe.com/custupdateok.aspx,/ErrorPage.aspx?E=404,656,302,138,6,4,text/html; charset=utf-8,83.535694ms,
qvcapp.aspx,https://enterpriseenrollment.officevibe.com/qvcapp.aspx,/ErrorPage.aspx?E=404,692,302,138,6,4,text/html; charset=utf-8,84.241889ms,
SubmitOrder.aspx,https://enterpriseenrollment.officevibe.com/SubmitOrder.aspx,/ErrorPage.aspx?E=404,695,302,138,6,4,text/html; charset=utf-8,84.794368ms,
blogsatom.aspx,https://enterpriseenrollment.officevibe.com/blogsatom.aspx,/ErrorPage.aspx?E=404,698,302,138,6,4,text/html; charset=utf-8,85.02778ms,
selectaddress.aspx,https://enterpriseenrollment.officevibe.com/selectaddress.aspx,/ErrorPage.aspx?E=404,702,302,138,6,4,text/html; charset=utf-8,81.154389ms,
news-homepage_350x350-01.aspx,https://enterpriseenrollment.officevibe.com/news-homepage_350x350-01.aspx,/ErrorPage.aspx?E=404,718,302,138,6,4,text/html; charset=utf-8,84.577738ms,
clicks.ashx,https://enterpriseenrollment.officevibe.com/clicks.ashx,/ErrorPage.aspx?E=404,725,302,138,6,4,text/html; charset=utf-8,81.738537ms,
mindex.aspx,https://enterpriseenrollment.officevibe.com/mindex.aspx,/ErrorPage.aspx?E=404,743,302,138,6,4,text/html; charset=utf-8,82.618562ms,
secure/myaccountchangeemailpassword.aspx,https://enterpriseenrollment.officevibe.com/secure/myaccountchangeemailpassword.aspx,/ErrorPage.aspx?E=404,755,302,138,6,4,text/html; charset=utf-8,81.451649ms,
TodayMeetings.aspx,https://enterpriseenrollment.officevibe.com/TodayMeetings.aspx,/ErrorPage.aspx?E=404,756,302,138,6,4,text/html; charset=utf-8,80.670803ms,
LOGO-ALASKA-2015.aspx,https://enterpriseenrollment.officevibe.com/LOGO-ALASKA-2015.aspx,/ErrorPage.aspx?E=404,763,302,138,6,4,text/html; charset=utf-8,83.465655ms,
awfcatpar.aspx,https://enterpriseenrollment.officevibe.com/awfcatpar.aspx,/ErrorPage.aspx?E=404,768,302,138,6,4,text/html; charset=utf-8,80.682956ms,
tools/sitemap.aspx,https://enterpriseenrollment.officevibe.com/tools/sitemap.aspx,/ErrorPage.aspx?E=404,774,302,138,6,4,text/html; charset=utf-8,83.876999ms,
JesusHoppedHP_1500x600_1.jpg.aspx,https://enterpriseenrollment.officevibe.com/JesusHoppedHP_1500x600_1.jpg.aspx,/ErrorPage.aspx?E=404,794,302,138,6,4,text/html; charset=utf-8,85.274776ms,
viewseclsts.aspx,https://enterpriseenrollment.officevibe.com/viewseclsts.aspx,/ErrorPage.aspx?E=404,841,302,138,6,4,text/html; charset=utf-8,81.721182ms,
Default.master.css.aspx,https://enterpriseenrollment.officevibe.com/Default.master.css.aspx,/ErrorPage.aspx?E=404,851,302,138,6,4,text/html; charset=utf-8,82.316772ms,
cgi-bin/writeVal.exe  ,https://enterpriseenrollment.officevibe.com/cgi-bin/writeVal.exe  ,/ErrorPage.aspx?E=404,854,302,138,6,4,text/html; charset=utf-8,83.011205ms,
money.aspx,https://enterpriseenrollment.officevibe.com/money.aspx,/ErrorPage.aspx?E=404,883,302,138,6,4,text/html; charset=utf-8,80.994731ms,
RAA29S.aspx,https://enterpriseenrollment.officevibe.com/RAA29S.aspx,/ErrorPage.aspx?E=404,904,302,138,6,4,text/html; charset=utf-8,82.079791ms,
